genotipo,fitness,totalMov,colisoes,x,y
"BCDEDEDDDDDDEEEDDEEDEDEDDEEDDDEEDEDEEEDEDEDDDDDBBB",1629.00,50,0,4,8
"DEDEBBCBCBCBBCBCCCDEBCBBBCBCCBBCCCDDDDEDDDEEDDDEDEDBCBCEEDDEEDDBCBCBBCBBCBCCCBCEDEEEEED",2401.90,87,0,1,4
"BCBCBBBCBCCBCCBCDEBCBCDEDEDEBBCBBCCBBCB",1434.10,39,0,4,1
"DEDEDDDDDEDEEDDDEEEEEDDEDEDDEEDDEEDEDDEDDEEDDEEEEDDDEEEDEDEDDEEDEEDDEEDEBCBCDEBB",2220.00,80,0,3,1
"DEBCDEBCBCDDEDEEBBCBBCBCBCCBBCBCCBBCBCBCCCBCDEDDDDEDDDDEDBCBBCCEDEDBCEDEDEEDDEDBBCCBCEDBBBCCCBB",2601.50,95,0,3,8
"BBCCDDEEDEBBCCBBCBBCBCCCDEBCBCDEDEDDEEDDEEBCDDDDEEEEBBBCBCBCBCBCCCBCDEBCBCDEDDEEDDEEDDDD",2407.40,88,0,1,5
"BBBCCCDDDEDEDDEDDEEEDEEDEEBCBCBBCBBCBCBCCCDDDDEDDDEDDEDBCBCEDEDBBCCEEDEDD",2072.90,73,0,1,8
"DEBBBCCBCCDEBCBBBCCCDDEDEDDEDDE",1331.10,31,0,1,4
"DDDDDEEEEDEEDEDEDEDDDEEDDDDDEEEDEEDDDEEDDEEE",1515.60,44,0,1,3
"BCBBBCBCCBBCBCCCBBBCCCBCBCBCDDDEDDEEEEDEDEBCDEDEBCBCDEBCBCBBCCDEBCDDEEDDDDDEDEDEDDDEDBCBC",2441.10,89,0,1,8
"BCDDDEDDEEDEDEEEBCBBBCCCBBCCDEBCDDDDEDEEDDDEEDEEEDEDDDEEEDEEBCBBCBCCDEBCDEBBCBBCCCBCDED",2384.90,87,0,1,2
"BCDDEDEEDEDEDDEEBB",1166.40,18,0,3,1
"DEDEDDDDDEDDDBCEDBBBCBCBCBCCBBCCCBBBCCBBCCBBCBCBCBCBCBCBCCCEDBCBBCCEDBCBBCBBCBCBCBCCBCBCCEDEEDEDEEDD",2724.00,100,0,1,7
"BBCCDEBBBCBCBCCCBBCBBCCBCBBCCCDEBCDEBCDEDEDEBB",1541.60,46,0,3,1
"DDEEBCBCDEDDDDEDEDEEEEDEDEDDDDE",1325.10,31,0,1,4
"DDDDDDDEDEE",1105.10,11,0,1,6
"BCBBCBCBCCBBCBBCBCBCCCBBCBBCBCBCCCBBCCBCBBCBBCBCBCCCBBBCBCCBBCBCCBBCCBBCC",2047.90,73,0,2,1
"BCBBCBBCCBBCCBCCBBBCBCCCBCDDEEDDEDDDEDDDEEEEEDEDDEDDDEDEDDDBCEDEDBCBBCCEEDDEEDE",2208.10,79,0,1,6
"DDDDDDEEEDEEDEEDEEDEBCDEDEBBCBCBCCDEDDEDEEDEDDDEDDDDEDEDEDEDEEEEEDEEDEDDEEBCDEDDEDDED",2338.50,85,0,1,4
"DDDEEEBCBCDEDDDEEDDDDDEEEEE",1277.90,27,0,1,2
"BCBCBBBCCCDEDEDDEE",1167.40,18,0,1,1
"DEDEDDEEDEDEDEBCBBCBCCDDDEDEDDDDDEEDEDEEEEDDEEDDDDEDEDEEDDEEEDDDEDEEEDEDEEEDEEDDEDEDDDDDEEEDD",2537.90,93,0,1,6
"DEDDEEBBBCBCBCCCBBBCCCDEDDEDDEEEBBCBBCCCB",1468.10,41,0,2,1
"DEDEBBBCCBBCCCDEDEBCBCDDDDDEEEDEDD",1373.60,34,0,1,5
"DEDEDDDDDEEEEEBBCBCBCCBBBCBCCBCCDEBCDEBBBCBCCCBBCBCBBCBCCCDEBCDDEEBCBBBCBCBCBCCCBBBCCCDEDD",2460.00,90,0,1,3
"DDEEDEDEDEBCDDEEDEBCDDDDEDDDEDEDEDEDEDEDEEDDDBCBBCBBCCCEDBCBCEDEDBCEDBBBCBCCCEEEEDEDDDDEDBC",2491.10,91,0,1,8
"DDDDEDEEEEDEDEBCDDEDDDDEEDEDDDDEEDEDEDEEDEEEEDDDEEEEDDDDEDEEEDDDEEEEDD",2000.00,70,0,1,3
"BBCCBCBBBCCCBBCCBCDEBBBCBCBCBCBCBCCBBCBCBCCCBCDDEDEDEEBCDEDDDEDDDDD",1940.90,67,0,1,8
"DDEEBCDEDDEEDEDEBCBBBCBCCBBCCBCBCCDDEEBCBCDEDEBBCBCBCBBCCBCCDEBBCCBBB",1971.10,69,0,4,1
"DDEEBBBCCBBCCBCCDEBCDDEEDEDDDDEEDDDDDEDEEEDDDBBBCCCBBBCCBBCBCBCBCCBCCBBCCBCBCBCEDBCBBCCEEEED",2525.40,92,0,1,5
"BCDDEDDDEEEEDDEDEEDEBBBCCCBCBBBCCBCBBCBCCBB",1503.90,43,0,4,1
"DEDDEDEEBBCBBCCBCBCBCBBCBCBCCCBCBBCBCBCCDDDDEEEDDDDDDBBBCCBBCBCCCEDBCEEEEDDDDBBCCEEEDED",2399.90,87,0,1,6
"BCBBBCCBBCBCBCBCBCBCCCDEDDDDDDEEDDEEDDDEDEEDDEEDDBCEDEDBBCBBCBCCCBCBBBCCB",2077.90,73,0,3,8
"BCDDEDEEDDEDDDEEEEBBCBBCCBCBCBBCBCBCCCBBCCDEDEBCDDEEBCBB",1722.60,56,0,3,1
"BCDEBBBCBCBCCBCCBCDEDDEDDEDEDD",1317.00,30,0,1,5
"BCBBBCBCBCCCBCDEDEBBBCBCCCDEDEBCDEBBBCBCCCDDEDEDDDDEEEEDEDEDEDDEEEDEDEBCDDEEDDE",2196.10,79,0,1,2
